Label (Grouping),SEX AND AGE,    Total population,RACE,    Total population,        One race,            White,            Black or African American,            American Indian and Alaska Native,            Asian,            Native Hawaiian and Other Pacific Islander,    Total population,        White,        Black or African American,        American Indian and Alaska Native,        Asian,        Native Hawaiian and Other Pacific Islander,        Some other race,    Total population,        Hispanic or Latino (of any race),            White alone,            Black or African American alone,            American Indian and Alaska Native alone,            Asian alone,            Native Hawaiian and Other Pacific Islander alone
1208,0,5929,0,5929,0.922,0.855,0.003,0,0.035,0.018,5929,0.933,0.02,0.007,0.058,0.018,0.042,5929,0.112,0.788,0.003,0,0.035,0.018
1209.01,0,3901,0,3901,0.935,0.856,0.002,0,0.048,0,3901,0.911,0.028,0.012,0.076,0,0.038,3901,0.094,0.806,0.002,0,0.048,0
1209.02,0,5056,0,5056,0.917,0.77,0.002,0.013,0.089,0,5056,0.851,0.035,0.037,0.131,0.002,0.053,5056,0.13,0.725,0.002,0,0.089,0
1210,0,3192,0,3192,0.935,0.869,0,0,0.047,0,3192,0.933,0.004,0.028,0.06,0,0.059,3192,0.057,0.86,0,0,0.047,0
1211,0,3195,0,3195,0.932,0.871,0.001,0,0.028,0,3195,0.939,0.009,0.022,0.045,0.004,0.05,3195,0.226,0.703,0.001,0,0.017,0
1212,0,6774,0,6774,0.921,0.856,0.017,0.001,0.024,0,6774,0.935,0.038,0.023,0.053,0.001,0.036,6774,0.057,0.823,0.017,0.001,0.024,0
1213,0,4426,0,4426,0.894,0.697,0,0,0.022,0,4426,0.801,0,0.017,0.05,0,0.238,4426,0.325,0.617,0,0,0.016,0
1214.01,0,2585,0,2585,0.885,0.701,0.017,0.034,0.027,0,2585,0.814,0.029,0.042,0.048,0,0.182,2585,0.275,0.625,0.017,0.01,0.027,0
1214.02,0,4706,0,4706,0.829,0.656,0.007,0.001,0.041,0.006,4706,0.81,0.009,0.019,0.078,0.006,0.264,4706,0.388,0.537,0.003,0.001,0.041,0.006
1214.03,0,3010,0,3010,0.931,0.751,0.035,0.011,0.023,0,3010,0.82,0.045,0.032,0.047,0.007,0.125,3010,0.162,0.733,0.035,0,0.023,0
1215.01,0,2873,0,2873,0.962,0.882,0,0.001,0.054,0,2873,0.919,0,0.014,0.054,0.012,0.046,2873,0.077,0.841,0,0.001,0.054,0
1215.02,0,2496,0,2496,0.86,0.73,0.028,0.006,0.053,0,2496,0.827,0.169,0.049,0.053,0,0.042,2496,0.316,0.548,0.028,0,0.053,0
1216.01,0,3906,0,3906,0.921,0.813,0.007,0,0,0.017,3906,0.893,0.03,0.003,0.042,0.017,0.096,3906,0.186,0.762,0.007,0,0,0
1216.02,0,2771,0,2771,0.936,0.857,0.002,0.005,0.009,0,2771,0.915,0.014,0.008,0.014,0.005,0.106,2771,0.166,0.798,0.002,0.005,0.009,0
1217.01,0,4308,0,4308,0.915,0.82,0.004,0,0.055,0,4308,0.905,0.04,0.012,0.079,0,0.049,4308,0.252,0.647,0.004,0,0.055,0
1217.02,0,3521,0,3521,0.909,0.763,0,0.01,0.049,0,3521,0.854,0.015,0.014,0.071,0,0.137,3521,0.296,0.615,0,0.01,0.049,0
1218.01,0,1746,0,1746,0.967,0.817,0,0,0.1,0.015,1746,0.826,0.023,0,0.133,0.038,0.035,1746,0.073,0.794,0,0,0.1,0
1218.02,0,2232,0,2232,0.964,0.867,0,0.01,0.077,0,2232,0.903,0.013,0.02,0.091,0,0.01,2232,0.211,0.676,0,0,0.077,0
1220.01,0,5354,0,5354,0.941,0.839,0.002,0.007,0.049,0,5354,0.897,0.002,0.034,0.067,0.008,0.066,5354,0.118,0.799,0.002,0.001,0.049,0
1220.02,0,2960,0,2960,0.941,0.92,0.002,0.002,0.017,0,2960,0.977,0.004,0.028,0.032,0,0.018,2960,0.04,0.898,0.002,0,0.017,0
1220.04,0,2900,0,2900,0.931,0.872,0.01,0,0.049,0,2900,0.941,0.039,0.039,0.065,0.039,0.013,2900,0.082,0.803,0.01,0,0.049,0
1220.05,0,4464,0,4464,0.836,0.753,0.007,0,0.044,0,4464,0.903,0.062,0.001,0.079,0,0.125,4464,0.255,0.647,0.007,0,0.034,0
